Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,growth_media,cluster
SRR10215672,ATAC-seq,200,9027481600,PRJNA575353,SAMN12886811,5888397598,NB-1,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935352,NA,GSM4104581,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:30:00Z,1,GSM4104581,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",4
SRR10215673,ATAC-seq,200,8931266000,PRJNA575353,SAMN12886810,5838819966,NB-1,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935353,NA,GSM4104582,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:40:00Z,1,GSM4104582,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",4
SRR10215674,ATAC-seq,200,14825431000,PRJNA575353,SAMN12886809,10671334130,NB-1643,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935354,NA,GSM4104583,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T10:00:00Z,1,GSM4104583,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",2
SRR10215675,ATAC-seq,200,20273928600,PRJNA575353,SAMN12886808,14242418448,NB-1643,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935355,NA,GSM4104584,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:48:00Z,1,GSM4104584,neuroblastoma-derived cell line,SRP223941,NA,"IMDM, 20% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",2
SRR10215676,ATAC-seq,82,3555477939,PRJNA575353,SAMN12886807,1413227987,NB-69,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935356,NA,GSM4104585,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:33:00Z,1,GSM4104585,neuroblastoma-derived cell line,SRP223941,NA,"IMDM, 20% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",5
SRR10215677,ATAC-seq,81,3766730749,PRJNA575353,SAMN12886806,1517141052,NB-69,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935357,NA,GSM4104586,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:37:00Z,1,GSM4104586,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",5
SRR10215678,ATAC-seq,200,10209550200,PRJNA575353,SAMN12886805,6198171587,NBL-S,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935358,NA,GSM4104587,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:33:00Z,1,GSM4104587,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",6
SRR10215679,ATAC-seq,200,5875531400,PRJNA575353,SAMN12886804,3510851598,NBL-S,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935359,NA,GSM4104588,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:28:00Z,1,GSM4104588,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",6
SRR10215680,ATAC-seq,82,2844865956,PRJNA575353,SAMN12886803,1180638199,NGP,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935360,NA,GSM4104589,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:33:00Z,1,GSM4104589,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",5
SRR10215681,ATAC-seq,82,3409470640,PRJNA575353,SAMN12886802,1363700778,NGP,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935361,NA,GSM4104590,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:36:00Z,1,GSM4104590,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",5
SRR10215682,ATAC-seq,200,11134385800,PRJNA575353,SAMN12886801,7823642610,SK-N-AS,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935362,NA,GSM4104591,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:47:00Z,1,GSM4104591,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",4
SRR10215683,ATAC-seq,200,10494223000,PRJNA575353,SAMN12886828,6747973042,SK-N-AS,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935363,NA,GSM4104592,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:41:00Z,1,GSM4104592,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",4
SRR10215684,ATAC-seq,200,12312737400,PRJNA575353,SAMN12886827,8226854058,SK-N-BE(2)-C,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935364,NA,GSM4104593,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:44:00Z,1,GSM4104593,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",3
SRR10215685,ATAC-seq,200,8662072000,PRJNA575353,SAMN12886826,6049931652,SK-N-BE(2)-C,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935365,NA,GSM4104594,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:33:00Z,1,GSM4104594,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",3
SRR10215686,ATAC-seq,200,5729714600,PRJNA575353,SAMN12886825,3481583160,SK-N-FI,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935366,NA,GSM4104595,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:31:00Z,1,GSM4104595,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",5
SRR10215687,ATAC-seq,200,6538966600,PRJNA575353,SAMN12886824,3948264334,SK-N-FI,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935367,NA,GSM4104596,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:31:00Z,1,GSM4104596,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",5
SRR10215688,ATAC-seq,200,11135932000,PRJNA575353,SAMN12886823,7196357572,SK-N-SH,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935368,NA,GSM4104597,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:37:00Z,1,GSM4104597,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",6
SRR10215689,ATAC-seq,200,9673935000,PRJNA575353,SAMN12886822,6338802241,SK-N-SH,GEO,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6935369,NA,GSM4104598,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-11-06T00:00:00Z,2019-10-02T09:35:00Z,1,GSM4104598,neuroblastoma-derived cell line,SRP223941,NA,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",6
